slug,name,country,region,piste_km,apres_score,crowd_score,infra_score,hut_score,park_score,beginner_score,advanced_score,lat,lon,image_url,openskimap_url,skimap_url,piste_map_url,official_url,skipass_url,piste_km_total,piste_km_easy,piste_km_intermediate,piste_km_advanced,runs_count_total,lifts_count_total,elevation_min_m,elevation_max_m,vertical_m,wikipedia_url,notes,source,last_checked
gotschenkopf,Götschenkopf,Germany,Bavaria,7.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,47.64241916643598,12.940033567128028,,https://openskimap.org/?obj=24db8df994d93f7726a7cdc5a3361604c1b7bc68,https://skimap.org/skiareas/view/16610,https://skimap.org/skiareas/view/16610,https://www.goetschen.com/,,7.5,3.5,1.9,2.1,12,3,878.1,1277.3,651,,,openskistats.org + api.openskimap.org,2026-01-28
habkern,Habkern,Switzerland,Bern,7.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.73151671265309,7.853696191428574,,https://openskimap.org/?obj=a9c334332416f4de546acbe9bd29444aea3abfbd,https://skimap.org/skiareas/view/5454,https://skimap.org/skiareas/view/5454,https://www.skilifthabkern.ch/,,7.8,2.4,3.3,2.1,6,1,1133.4,1472.1,339.1,,,openskistats.org + api.openskimap.org,2026-01-28
hafjell,Hafjell,Norway,Innlandet,38.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,61.23689886085633,10.468093336085621,,https://openskimap.org/?obj=c0763aa655c8d14f82ed2da8660f6e9ad8b7310e,https://skimap.org/skiareas/view/1844,https://skimap.org/skiareas/view/1844,https://www.hafjell.no/,,38.5,25.8,10.5,2.2,124,17,193.1,1057,864,,,openskistats.org + api.openskimap.org,2026-01-28
hagenberg,Hagenberg,Austria,Vorarlberg,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,47.5322546888889,9.89039897111111,,https://openskimap.org/?obj=0d9ba95c9f923a638abdb09784e0775c0194b406,,,https://www.skilifte-hagenberg.at,,4,3,1,,7,2,612.5,917.6,305.4,,,openskistats.org + api.openskimap.org,2026-01-28
haglebu,Haglebu,Norway,Viken,4.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,60.34506752724113,9.189909362792946,,https://openskimap.org/?obj=b73a77726be854d5419f6dac30080007a93b3ba0,https://skimap.org/skiareas/view/14335,https://skimap.org/skiareas/view/14335,,,4.6,1.5,3,,8,3,840.1,1034.5,195.3,,,openskistats.org + api.openskimap.org,2026-01-28
hahnenkamm,Hahnenkamm,Austria,Tyrol,8.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,47.475064944329894,10.653706032989694,,https://openskimap.org/?obj=7bf9fd707a69cba7cf6dd9355bd4fa9d731d8376,https://skimap.org/skiareas/view/12356,https://skimap.org/skiareas/view/12356,https://bergwelt-hahnenkamm.at/,,8.5,1.2,7,0.4,9,4,915,1879.2,964.5,,,openskistats.org + api.openskimap.org,2026-01-28
haldenkopfle,Haldenköpfle,Germany,Baden-Württemberg,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,47.8821626355062,7.893797159178282,,https://openskimap.org/?obj=1f613ad2645c8582f1ed573c05ffde8c53ae8b71,https://skimap.org/skiareas/view/976,https://skimap.org/skiareas/view/976,https://www.liftverbund-feldberg.de/,,4,2.5,1.5,,14,6,1097.4,1265.2,166,,,openskistats.org + api.openskimap.org,2026-01-28
hallbj-nnsekken-skisenter,Hallbjønnsekken skisenter,Norway,Vestfold og Telemark,3.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,59.35936748639237,7.736344624367092,,https://openskimap.org/?obj=f2796aba6dec58449c076484ad1a91efbfb695f2,https://skimap.org/skiareas/view/19050,https://skimap.org/skiareas/view/19050,,,3.5,1.4,2.1,,6,2,777,1056,279,,,openskistats.org + api.openskimap.org,2026-01-28
hallingskarvet-skisenter,Hallingskarvet skisenter,Norway,Viken,7.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,60.64156059822866,8.021152782608704,,https://openskimap.org/?obj=c47dc2b31ff6912ef26d76ed2421f3950e011902,https://skimap.org/skiareas/view/14336,https://skimap.org/skiareas/view/14336,,,7.7,1,4.2,2.4,11,3,740.2,1226.9,486.7,,,openskistats.org + api.openskimap.org,2026-01-28
hallsta-ski,Hallsta Ski,Sweden,Vasternorrland,2.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,63.16103496956523,17.237580421739132,,https://openskimap.org/?obj=c8e1dee354ff8468f4a78fb244ac33321f890ddb,https://skimap.org/skiareas/view/14386,https://skimap.org/skiareas/view/14386,,,2.7,0.3,,0.3,4,5,76.2,320,257.8,,,openskistats.org + api.openskimap.org,2026-01-28
harenda,Harenda,Poland,Lesser Poland Voivodeship,2.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,49.32240659375,19.977720674999997,,https://openskimap.org/?obj=55019c91e01b1e9c52b2e858bc0531570efdf3e5,https://skimap.org/skiareas/view/12557,https://skimap.org/skiareas/view/12557,https://www.harendazakopane.pl/,,2.6,1.3,0.6,0.6,4,5,770.1,960,193.4,,,openskistats.org + api.openskimap.org,2026-01-28
harghita-bai,Harghita Băi,Romania,Harghita,4.9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.383885718029276,25.640952111144998,,https://openskimap.org/?obj=5fe190e8d4091fd6cafecf2ef9a5f07e77ccfd77,https://skimap.org/skiareas/view/2616,https://skimap.org/skiareas/view/2616,https://www.hargitafurdo.ro/,,4.9,2.9,1.3,0.7,13,3,1232,1358.5,127.9,,,openskistats.org + api.openskimap.org,2026-01-28
harpefossen-skisenter,Harpefossen skisenter,Norway,Vestland,9.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,61.9627774044643,5.931665990624995,,https://openskimap.org/?obj=2b015fc21a1e4a6e9c4bd36cb90dcb9040dcfc68,https://skimap.org/skiareas/view/14337,https://skimap.org/skiareas/view/14337,,,9.8,5.6,3.4,0.8,11,6,247.8,812.2,569.8,,,openskistats.org + api.openskimap.org,2026-01-28
harrachov,Harrachov,Czechia,Liberec,6.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,50.76283525133335,15.435184989333342,,https://openskimap.org/?obj=fa60f5cf50efef29e1a4d3f11a3eb147a2cb208f,https://skimap.org/skiareas/view/1829,https://skimap.org/skiareas/view/1829,,,6.4,3.3,2.1,1,13,6,667.8,1019.6,352.1,,,openskistats.org + api.openskimap.org,2026-01-28
hartenrod,Hartenrod,Germany,Hesse,1.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,50.74949042143186,8.454666137695316,,https://openskimap.org/?obj=43d8afc875d0947ef82d6dc612f8da586ba71d70,https://skimap.org/skiareas/view/17798,https://skimap.org/skiareas/view/17798,,,1.6,1.1,0.5,,4,2,373.9,493.6,119.7,,,openskistats.org + api.openskimap.org,2026-01-28
